chapter,section,symbol,offset,offset_expr,page,page_end,name
30,3.2.10,FWLTHRDCNi,0x650C,0x650C + 0x20 * i,1426,1427,Port i Layer 3 Rejected Descriptor Counter Register (i = 0 to 2)
30,3.2.9,FWDDRDCN2,0x6548,0x6548,1426,1426,Port 2 Direct Descriptor Rejected Descriptor Counter Register
30,3.2.11,FWLTWRDCNi,0x6514,0x6514 + 0x20 * i,1427,1427,Port i Layer 2 Rejected Descriptor Counter Register (i = 0 to 2)
30,3.2.12,FWPBRDCNi,0x6518,0x6518 + 0x20 * i,1427,1428,Port i Port Based Rejected Descriptor Counter Register (i = 0 to 2)
30,3.2.13,FWPMFDCNi,0x6700,0x6700 + 0x4 * i,1428,1429,PSFP MSDU i Filtered Descriptor Counter Register (i = 0 to 15)
30,3.2.14,FWPMGDCNi,0x6800,0x6800 + 0x10 * i,1429,1429,PSFP Meter i Green Descriptor Counter Register (i = 0 to 31)
30,3.2.15,FWPMYDCNi,0x6804,0x6804 + 0x10 * i,1429,1430,PSFP Meter i Yellow Descriptor Counter Register (i = 0 to 7)
30,3.2.16,FWPMRDCNi,0x6808,0x6808 + 0x10 * i,1430,1430,PSFP Meter i Red Descriptor Counter Register (i = 0 to 31)
30,3.2.17,FWFRPPCNi,0x6A00,0x6A00 + 0x8 * i,1430,1431,FRER i Passed Packet Counter Register (i = 0 to 127)
30,3.2.18,FWFRDPCNi,0x6A04,0x6A04 + 0x8 * i,1431,1431,FRER i Discarded Packet Counter Register (i = 0 to 127)
30,3.3.1,FWEIS0i,0x7900,0x7900 + 0x10 * i,1432,1438,Port i Error Interrupt Status Register 0 (i = 0 to 2)
30,3.3.2,FWEIE0i,0x7904,0x7904 + 0x10 * i,1438,1442,Port i Error Interrupt Enable Register 0 (i = 0 to 2)
30,3.3.3,FWEID0i,0x7908,0x7908 + 0x10 * i,1442,1443,Port i Error Interrupt Disable Register 0 (i = 0 to 2)
30,3.3.4,FWEIS1,0x7A00,0x7A00,1443,1444,Error Interrupt Status Register 1
30,3.3.5,FWEIE1,0x7A04,0x7A04,1444,1445,Error Interrupt Enable Register 1
30,3.3.6,FWEID1,0x7A08,0x7A08,1445,1446,Error Interrupt Disable Register 1
30,3.3.7,FWEIS2,0x7A10,0x7A10,1446,1446,Error Interrupt Status Register 2
30,3.3.8,FWEIE2,0x7A14,0x7A14,1446,1447,Error Interrupt Enable Register 2
30,3.3.10,FWEIS5,0x7A40,0x7A40,1447,1448,Error Interrupt Status Register 5
30,3.3.9,FWEID2,0x7A18,0x7A18,1447,1447,Error Interrupt Disable Register 2
30,3.3.11,FWEIE5,0x7A44,0x7A44,1448,1448,Error Interrupt Enable Register 5
30,3.3.12,FWEID5,0x7A48,0x7A48,1448,1448,Error Interrupt Disable Register 5
30,3.3.13,FWEIS60,0x7A50,0x7A50,1448,1449,Error Interrupt Status Register 60
30,3.3.14,FWEIE60,0x7A54,0x7A54,1449,1449,Error Interrupt Enable Register 60
30,3.3.15,FWEID60,0x7A58,0x7A58,1449,1450,Error Interrupt Disable Register 60
30,3.3.16,FWEIS61,0x7A60,0x7A60,1450,1450,Error Interrupt Status Register 61
30,3.3.17,FWEIE61,0x7A64,0x7A64,1450,1451,Error Interrupt Enable Register 61
30,3.3.18,FWEID61,0x7A68,0x7A68,1451,1451,Error Interrupt Disable Register 61
30,3.3.19,FWEIS62,0x7A70,0x7A70,1451,1451,Error Interrupt Status Register 62
30,3.3.20,FWEIE62,0x7A74,0x7A74,1451,1452,Error Interrupt Enable Register 62
30,3.3.21,FWEID62,0x7A78,0x7A78,1452,1452,Error Interrupt Disable Register 62
30,3.3.22,FWEIS63,0x7A80,0x7A80,1452,1453,Error Interrupt Status Register 63
30,3.3.23,FWEIE63,0x7A84,0x7A84,1453,1453,Error Interrupt Enable Register 63
30,3.3.24,FWEID63,0x7A88,0x7A88,1453,1453,Error Interrupt Disable Register 63
30,3.3.25,FWEIS70,0x7A90,0x7A90,1453,1454,Error Interrupt Status Register 70
30,3.3.26,FWEIE70,0x7A94,0x7A94,1454,1454,Error Interrupt Enable Register 70
30,3.3.27,FWEID70,0x7A98,0x7A98,1454,1455,Error Interrupt Disable Register 70
30,3.3.28,FWEIS71,0x7AA0,0x7AA0,1455,1455,Error Interrupt Status Register 71
30,3.3.29,FWEIE71,0x7AA4,0x7AA4,1455,1456,Error Interrupt Enable Register 71
30,3.3.30,FWEID71,0x7AA8,0x7AA8,1456,1456,Error Interrupt Disable Register 71
30,3.3.31,FWEIS72,0x7AB0,0x7AB0,1456,1456,Error Interrupt Status Register 72
30,3.3.32,FWEIE72,0x7AB4,0x7AB4,1456,1457,Error Interrupt Enable Register 72
30,3.3.33,FWEID72,0x7AB8,0x7AB8,1457,1457,Error Interrupt Disable Register 72
30,3.3.34,FWEIS73,0x7AC0,0x7AC0,1457,1458,Error Interrupt Status Register 73
30,3.3.35,FWEIE73,0x7AC4,0x7AC4,1458,1458,Error Interrupt Enable Register 73
30,3.3.36,FWEID73,0x7AC8,0x7AC8,1458,1458,Forwarding Engine Error Interrupt Disable 73
